Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2023-02-21,113,1550.5230215770025,5570.40058903432,34.0,34,0.6679067804245166,1.292785905081081,0.2511779113160074,8990,,,,341530,6002547,,
2023-02-22,62,1446.34524716056,3086.6759539179843,16.0,16,0.5260094610886704,1.3061449672134473,0.2511779113160074,5183,,,,,3636070,,
2023-02-23,149,1646.224803235028,7431.6408733965545,9.0,9,0.5255439298384459,1.3685747147495524,0.2612250277686477,12014,,,,,8879942,,
2023-02-24,115,1539.441236752053,5523.296542377807,29.0,29,0.6771595855865821,1.4540405407357944,0.2612250277686477,9061,,,,,6078458,,
2023-02-25,23,1307.7499927282333,717.9669417056755,,,0.3669967742428181,0.6746582571252561,0.24742898519845158,1420,,,,,,,
2023-02-26,6,1319.1079555814758,347.8311715904071,,,0.3650903081548965,0.49118081030611876,0.2511779113160074,777,,,,,297978,,
2023-02-27,93,1465.3530503547531,3948.415146472488,14.0,14,0.5457979106495965,1.4260390988406153,0.2612250277686477,6532,,,,,4134743,,
2023-02-28,119,1566.8835221719814,5334.747446953351,6.0,6,0.5088037228987672,1.2155136142775091,0.2511779113160074,8903,,,,,6798410,,
2023-03-01,80,1452.2899198482621,3638.2260967366606,15.0,15,0.49115285297615624,1.6372816280963618,0.2511779113160074,6039,,,,,3792030,,
2023-03-02,63,1432.1867663208516,2722.514086727236,7.0,7,0.4265145666173768,1.4457035580237285,0.2612250277686477,4676,,,,,3264619,,
2023-03-03,81,1482.9562246856494,4086.5262535899496,20.0,20,0.5025086357903971,1.7292952401464468,0.24920013309993683,6837,,,,,4420608,74548,
2023-03-04,175,1763.0485167821346,6710.0404581785915,5.0,5,0.5213198010439045,1.4436154377245838,0.2511779113160074,11710,,,,,11944834,,
2023-03-05,94,1501.1089930951787,4152.476059278727,12.0,12,0.47584046726732127,1.5526265026790733,0.25117790043519783,7210,,,,,5072805,,
2023-03-06,89,1497.632464023214,4580.4224612494445,33.0,33,0.6777543175675463,1.3990058740486493,0.271272144221288,7340,,,,,4981597,,
2023-03-07,99,1492.5834228277363,4548.151939080292,20.0,20,0.5828761952937711,1.6471498552134207,0.2511779113160074,7371,,,,,4849134,,
2023-03-08,71,1462.2211839961392,2762.5545289744837,21.0,21,0.5831827131471718,1.7773325568512368,0.3014134674628912,4492,,,,583693,3425966,,
2023-03-09,111,1358.6920628477274,5513.187114276192,32.0,32,0.5405144284875941,1.2479240331378854,0.2612250277686477,8795,,,,,1336475,,
2023-03-10,76,1351.5950988079132,3174.7589385418496,13.0,13,0.6668303053315255,1.84746902398181,0.2511779113160074,5175,,,,,1150285,,
2023-03-11,147,1655.3083139633773,5861.985581236754,6.0,6,0.5592102173120792,1.2940561614322834,0.2511779113160074,10249,,,,,9118251,,
2023-03-12,37,1317.182066988617,1666.261614711575,2.0,2,0.3916441333466936,1.2997287477705803,0.2511779113160074,3073,,,,,247452,,
2023-03-13,125,1307.7499927282336,6546.134234660646,39.0,39,0.528652382301572,1.445076404396497,0.2813192606739283,10373,,,,,,,
2023-03-14,56,1307.7499927282333,2642.822258183727,13.0,13,0.591537506222546,1.2676614063816298,0.271272144221288,4237,,,,,,,
2023-03-15,67,1330.3667004477966,3179.0637909841644,19.0,19,0.6493213860922046,1.2657354087697144,0.3014134627144703,5176,,,,,593353,,
2023-03-16,132,1319.4016835135617,5695.958620121821,23.0,23,0.48689964340271547,1.6155367910833747,0.271272144221288,9268,,,,,305684,,
2023-03-17,110,1338.4294207441449,5151.89623146395,29.0,29,0.520175239707788,1.2530319046012375,0.2612250277686477,8490,,,,,804879,,
2023-03-18,25,1307.7499927282333,949.5510509229646,,,0.3184462088225459,0.9274700704568215,0.2511779113160074,1898,,,,,,,
2023-03-19,7,1307.7499927282333,274.35506620191325,,,0.35346525219561215,1.1445305851060041,0.2612250277686477,639,,,,,,,
2023-03-20,115,1307.7499927282333,5215.432503343222,27.0,27,0.4442002127845689,1.311056100148302,0.3014134627144703,8388,,,,,,,
2023-03-21,121,1307.7499927282333,5590.225262024606,27.0,27,0.5790739629159847,1.3679831125271886,0.2813192606739283,9156,,,,,,,
2023-03-22,139,1307.7499927282333,6041.150975962792,25.0,25,0.5689555101441177,1.2295584785507045,0.2813192606739283,9918,,,,,,,
2023-03-23,51,1307.7499927282333,1899.2526189029531,4.0,4,0.47417729059349883,1.1657448864458138,0.29952177709231004,3165,,,,,,,
2023-03-24,91,1367.8425772322819,4408.367032424236,28.0,28,0.4240575639699034,1.6828324622573152,0.2511779113160074,6986,,,,,1576540,,
2023-03-25,4,1307.7499927282333,202.54986768522835,,,0.2876998475812259,0.6877490428890679,0.2511779113160074,510,,,,,,,
2023-03-26,16,1307.7499927282333,594.3874093382,,,0.3773700221461711,0.574835020922206,0.271272144221288,1120,,,,,,,
2023-03-27,117,1307.7499927282333,4890.915257372617,19.0,19,0.5320249375746134,1.4740805805630646,0.269311574765714,8032,,,,,,,
2023-03-28,67,1307.7499927282333,2471.301202336898,7.0,7,0.4400750058188104,1.2127296550259719,0.271272144221288,4101,,,,,,,
